"Ccode","Dcode","SchoolID","CharterNumber","CharterName","ReportType","ReportLevel","FundUsed","K12ADA"
"01","10017","0112607","0811      ","Envision Academy for Arts & Technology                                                              ","ALT Form                                                                                            ","School","",371.25
"01","10017","0123968","1284      ","Community School for Creative Education                                                             ","ALT Form                                                                                            ","School","",197.36
"01","10017","0124172","1296      ","Yu Ming Charter                                                                                     ","ALT Form                                                                                            ","School","",341.25
"01","10017","0125567","1383      ","Urban Montessori Charter                                                                            ","ALT Form                                                                                            ","School","",347.92
"01","10017","0131581","1707      ","Oakland Unity Middle                                                                                ","ALT Form                                                                                            ","School","",141.44
"01","10017","6001788","0740      ","Cox Academy                                                                                         ","ALT Form                                                                                            ","School","",558.55
"01","10017","6002000","1464      ","Lazear Charter Academy                                                                              ","ALT Form                                                                                            ","School","",440.02
"01","61119","0119222","1066      ","Nea Community Learning Center                                                                       ","ALT Form                                                                                            ","School","",495.67
"01","61119","0122085","1181      ","The Academy of Alameda                                                                              ","ALT Form                                                                                            ","School","",481.82
"01","61119","0130609","0352      ","Alameda Community Learning Center                                                                   ","ALT Form                                                                                            ","School","",343.26
"01","61119","0130625","0398      ","Alternatives in Action                                                                              ","ALT Form                                                                                            ","School","",155.24
"01","61119","0131805","1718      ","The Academy of Alameda Elementary                                                                   ","ALT Form                                                                                            ","School","",126.21
"01","61143","0122689","1254      ","REALM Charter Middle                                                                                ","ALT Form                                                                                            ","School","",241.73
"01","61143","0122697","1255      ","REALM Charter High                                                                                  ","ALT Form                                                                                            ","School","",316.91
"01","61176","0130534","0152      ","Circle of Independent Learning                                                                      ","SACS                                                                                                ","District","09 Charter Spec. Revenue",341.76
"01","61192","0108670","0684      ","Leadership Public Schools - Hayward                                                                 ","ALT Form                                                                                            ","School","",547.35
"01","61192","0113902","0836      ","Impact Academy of Arts & Technology                                                                 ","ALT Form                                                                                            ","School","",560.14
"01","61192","0119248","1067      ","Golden Oak Montessori of Hayward                                                                    ","ALT Form                                                                                            ","School","",227.75
"01","61192","0127696","1514      ","Knowledge Enlightens You (KEY) Academy                                                              ","ALT Form                                                                                            ","School","",520.33
"01","61192","0127944","1543      ","Silver Oak High Public Montessori Charter                                                           ","ALT Form                                                                                            ","School","",178.82
"01","61200","0107839","1565      ","Livermore Valley Charter                                                                            ","Did not report                                                                                      ","","",420.53
"01","61200","0120931","1124      ","Livermore Valley Charter Preparatory High                                                           ","Did not report                                                                                      ","","",248.68
"01","61259","0100065","0510      ","Oakland Unity High                                                                                  ","ALT Form                                                                                            ","School","",318.87
"01","61259","0100123","0499      ","East Oakland Leadership Academy                                                                     ","ALT Form                                                                                            ","School","",116.63
"01","61259","0106906","0661      ","Bay Area Technology                                                                                 ","ALT Form                                                                                            ","School","",282.68
"01","61259","0108944","0700      ","Lighthouse Community Charter High                                                                   ","ALT Form                                                                                            ","School","",246.01
"01","61259","0109819","0726      ","Aspire Berkley Maynard Academy                                                                      ","ALT Form                                                                                            ","School","",497.96
"01","61259","0111476","0780      ","Achieve Academy                                                                                     ","ALT Form                                                                                            ","School","",688.53
"01","61259","0111856","0765      ","American Indian Public High                                                                         ","ALT Form                                                                                            ","School","",253.07
"01","61259","0114363","0882      ","American Indian Model Schools                                                                       ","ALT Form                                                                                            ","School","",630.76
"01","61259","0114454","0864      ","Conservatory of Vocal/Instrumental Arts                                                             ","ALT Form                                                                                            ","School","",186.79
"01","61259","0114868","0883      ","Oakland Charter High                                                                                ","ALT Form                                                                                            ","School","",421.54
"01","61259","0115014","0938      ","KIPP Bridge Academy                                                                                 ","ALT Form                                                                                            ","School","",536.85
"01","61259","0115238","0837      ","ARISE High                                                                                          ","ALT Form                                                                                            ","School","",257.34
"01","61259","0115386","0948      ","Civicorps Corpsmember Academy                                                                       ","ALT Form                                                                                            ","School","",66.50
"01","61259","0115592","1442      ","Learning Without Limits                                                                             ","ALT Form                                                                                            ","School","",399.97
"01","61259","0118224","1023      ","Aspire Golden State College Preparatory Academy                                                     ","ALT Form                                                                                            ","School","",537.39
"01","61259","0120188","1115      ","Aspire ERES Academy                                                                                 ","ALT Form                                                                                            ","School","",207.76
"01","61259","0123711","1271      ","Vincent Academy                                                                                     ","ALT Form                                                                                            ","School","",261.48
"01","61259","0126748","1449      ","LPS Oakland R & D Campus                                                                            ","ALT Form                                                                                            ","School","",319.46
"01","61259","0128413","1577      ","Aspire College Academy                                                                              ","ALT Form                                                                                            ","School","",274.83
"01","61259","0129403","1632      ","Epic Charter                                                                                        ","ALT Form                                                                                            ","School","",397.61
"01","61259","0129635","1661      ","Downtown Charter Academy                                                                            ","ALT Form                                                                                            ","School","",219.36
"01","61259","0129932","1620      ","East Bay Innovation Academy                                                                         ","ALT Form                                                                                            ","School","",406.10
"01","61259","0130617","0349      ","Oakland Military Institute, College Preparatory Academy                                             ","ALT Form                                                                                            ","School","",668.81
"01","61259","0130633","0413      ","Lighthouse Community Charter                                                                        ","ALT Form                                                                                            ","School","",468.98
"01","61259","0130666","0465      ","Aspire Lionel Wilson College Preparatory Academy                                                    ","ALT Form                                                                                            ","School","",488.07
"01","61259","0130732","1663      ","Aspire Triumph Technology Academy                                                                   ","ALT Form                                                                                            ","School","",264.82
"01","61259","0131672","1712      ","Castlemont Primary Academy                                                                          ","ALT Form                                                                                            ","School","",37.45
"01","61259","0131896","1713      ","Roses in Concrete                                                                                   ","ALT Form                                                                                            ","School","",240.00
"01","61259","0132514","1708      ","Francophone Charter School of Oakland                                                               ","ALT Form                                                                                            ","School","",151.18
"01","61259","0132555","1745      ","Conservatory of Vocal/Instrumental Arts High                                                        ","ALT Form                                                                                            ","School","",55.47
"01","61259","0134015","1783      ","Lodestar: A Lighthouse Community Charter Public                                                     ","ALT Form                                                                                            ","School","",219.40
"01","61259","3030772","0340      ","Oakland School For The Arts                                                                         ","ALT Form                                                                                            ","School","",724.34
"01","61259","6111660","0014      ","Oakland Charter Academy                                                                             ","ALT Form                                                                                            ","School","",192.21
"01","61259","6113807","0106      ","American Indian Public Charter                                                                      ","ALT Form                                                                                            ","School","",141.50
"01","61259","6117568","0252      ","Aspire Monarch Academy                                                                              ","ALT Form                                                                                            ","School","",387.79
"01","61259","6117972","0302      ","North Oakland Community Charter                                                                     ","ALT Form                                                                                            ","School","",213.21
"01","61259","6118608","1443      ","ASCEND                                                                                              ","ALT Form                                                                                            ","School","",445.19
"01","61309","0101212","0524      ","KIPP Summit Academy                                                                                 ","ALT Form                                                                                            ","School","",408.56
"01","61309","0114421","0880      ","KIPP King Collegiate High                                                                           ","ALT Form                                                                                            ","School","",563.22
"03","10033","0129692","1662      ","Shenandoah Valley                                                                                   ","SACS                                                                                                ","COE","01 General",42.87
"04","10041","0114991","0945      ","CORE Butte Charter                                                                                  ","SACS                                                                                                ","School","62 Charter Enterprise",776.33
"04","10041","0134213","1811      ","Come Back Butte Charter                                                                             ","SACS                                                                                                ","COE","01 General",33.37
"04","10041","0430090","0110      ","Learning Community Charter                                                                          ","SACS                                                                                                ","COE","01 General",266.59
"04","61424","0110551","0729      ","Nord Country                                                                                        ","ALT Form                                                                                            ","School","",171.62
"04","61424","0118042","1019      ","Forest Ranch Charter                                                                                ","ALT Form                                                                                            ","School","",124.90
"04","61424","0120394","1114      ","Inspire School of Arts and Sciences                                                                 ","SACS                                                                                                ","District","09 Charter Spec. Revenue",416.09
"04","61424","0121475","1166      ","Sherwood Montessori                                                                                 ","ALT Form                                                                                            ","School","",137.49
"04","61424","0123810","1280      ","Wildflower Open Classroom                                                                           ","ALT Form                                                                                            ","School","",149.93
"04","61424","6113773","0112      ","Chico Country Day                                                                                   ","ALT Form                                                                                            ","School","",542.57
"04","61424","6119523","0415      ","Blue Oak Charter                                                                                    ","ALT Form                                                                                            ","School","",359.58
"04","61440","0121509","1170      ","Ipakanni Early College Charter                                                                      ","ALT Form                                                                                            ","School","",51.50
"04","61457","0125252","1364      ","Pivot Charter School North Valley                                                                   ","ALT Form                                                                                            ","School","",90.22
"04","61507","0129577","1616      ","STREAM Charter                                                                                      ","ALT Form                                                                                            ","School","",262.62
"04","61531","0110338","0751      ","Achieve Charter School of Paradise Inc.                                                             ","ALT Form                                                                                            ","School","",226.21
"04","61531","0121715","1189      ","Paradise eLearning Charter Academy                                                                  ","SACS                                                                                                ","District","09 Charter Spec. Revenue",38.98
"04","61531","6112585","0067      ","Hometech Charter                                                                                    ","ALT Form                                                                                            ","School","",143.12
"04","61531","6112999","0079      ","Paradise Charter Middle                                                                             ","ALT Form                                                                                            ","School","",146.91
"04","61531","6113765","0094      ","Children's Community Charter                                                                        ","ALT Form                                                                                            ","School","",221.36
"05","10058","0530154","0527      ","Mountain Oaks                                                                                       ","SACS                                                                                                ","COE","09 Charter Spec. Revenue",457.34
"07","10074","0114470","0868      ","Making Waves Academy                                                                                ","ALT Form                                                                                            ","School","",748.59
"07","10074","0129528","1622      ","Caliber: Beta Academy                                                                               ","ALT Form                                                                                            ","School","",710.85
"07","10074","0129684","1650      ","Summit Public School K2                                                                             ","ALT Form                                                                                            ","School","",301.77
"07","10074","0134114","1773      ","Contra Costa School of Performing Arts                                                              ","ALT Form                                                                                            ","School","",269.91
"07","10074","0731380","1400      ","Clayton Valley Charter High                                                                         ","ALT Form                                                                                            ","School","",2089.86
"07","61648","0115063","0909      ","Antioch Charter Academy II                                                                          ","SACS                                                                                                ","School","62 Charter Enterprise",203.05
"07","61648","6115703","0143      ","Antioch Charter Academy                                                                             ","SACS                                                                                                ","School","62 Charter Enterprise",195.10
"07","61663","0130930","1684      ","Vista Oaks Charter                                                                                  ","ALT Form                                                                                            ","School","",659.80
"07","61754","6118087","0305      ","Eagle Peak Montessori                                                                               ","SACS                                                                                                ","District","09 Charter Spec. Revenue",229.36
"07","61796","0101477","0557      ","Leadership Public Schools: Richmond                                                                 ","ALT Form                                                                                            ","School","",513.71
