"Code","Title"
"0000","Undistributed                                                                                                                                                                                                                                             "
"0001","General Education, Pre-K                                                                                                                                                                                                                                  "
"1110","Regular Education, K-12                                                                                                                                                                                                                                   "
"3100","Alternative Schools                                                                                                                                                                                                                                       "
"3200","Continuation Schools                                                                                                                                                                                                                                      "
"3300","Independent Study Centers                                                                                                                                                                                                                                 "
"3400","Opportunity Schools                                                                                                                                                                                                                                       "
"3500","County Community Schools (COE only)                                                                                                                                                                                                                       "
"3550","Community Day Schools                                                                                                                                                                                                                                     "
"3600","Juvenile Courts                                                                                                                                                                                                                                           "
"3700","Specialized Secondary Programs                                                                                                                                                                                                                            "
"3800","Career Technical Education                                                                                                                                                                                                                                "
"4110","Regular Education, Adult                                                                                                                                                                                                                                  "
"4610","Adult Independent Study Centers                                                                                                                                                                                                                           "
"4620","Adult Correctional Education                                                                                                                                                                                                                              "
"4630","Adult Career Technical Education                                                                                                                                                                                                                          "
"4760","Bilingual                                                                                                                                                                                                                                                 "
"4850","Migrant Education                                                                                                                                                                                                                                         "
"4900","Other Supplemental Education (COE only)                                                                                                                                                                                                                   "
"5001","Special Education-Unspecified                                                                                                                                                                                                                             "
"5050","Regionalized Services                                                                                                                                                                                                                                     "
"5060","Regionalized Program Specialist                                                                                                                                                                                                                           "
"5710","Special Education, Infants                                                                                                                                                                                                                                "
"5730","Special Education, Preschool Students                                                                                                                                                                                                                     "
"5750","Special Education, Age 5-22 Severely Disabled                                                                                                                                                                                                             "
"5770","Special Education, Ages 5-22 Nonseverely Disabled                                                                                                                                                                                                         "
"6000","Regional Occupational Center/Program (ROC/P)                                                                                                                                                                                                              "
"7110","Nonagency-Educational                                                                                                                                                                                                                                     "
"7150","Nonagency-Other                                                                                                                                                                                                                                           "
"8100","Community Services                                                                                                                                                                                                                                        "
"8500","Child Care and Development Services                                                                                                                                                                                                                       "
"8600","County Services to Districts                                                                                                                                                                                                                              "
"9000","Other Local Goals                                                                                                                                                                                                                                         "
"ADLT","Adult Education Allocated Costs                                                                                                                                                                                                                           "
"CAFE","Cafeteria Allocated Costs                                                                                                                                                                                                                                 "
"CHLD","Child Development Allocated Costs                                                                                                                                                                                                                         "
