"Ccode","Dcode","Dname","Dtype","K12ADA"
"01","10017","Alameda County Office of Education                                         ","CO OFFICE      ",0.00
"01","40402","Mission Valley ROC/P                                                       ","JPA            ",0.00
"01","40410","Tri-Valley ROP JPA                                                         ","JPA            ",0.00
"01","40428","Eden Area ROP JPA                                                          ","JPA            ",0.00
"01","61119","Alameda Unified                                                            ","UNIFIED        ",9061.77
"01","61127","Albany City Unified                                                        ","UNIFIED        ",3601.47
"01","61143","Berkeley Unified                                                           ","UNIFIED        ",9171.43
"01","61150","Castro Valley Unified                                                      ","UNIFIED        ",9022.97
"01","61168","Emery Unified                                                              ","UNIFIED        ",644.25
"01","61176","Fremont Unified                                                            ","UNIFIED        ",33781.30
"01","61192","Hayward Unified                                                            ","UNIFIED        ",19670.34
"01","61200","Livermore Valley Joint Unified                                             ","UNIFIED        ",12722.78
"01","61218","Mountain House Elementary                                                  ","ELEMENTARY     ",17.19
"01","61234","Newark Unified                                                             ","UNIFIED        ",5614.15
"01","61242","New Haven Unified                                                          ","UNIFIED        ",11341.68
"01","61259","Oakland Unified                                                            ","UNIFIED        ",34942.22
"01","61275","Piedmont City Unified                                                      ","UNIFIED        ",2605.44
"01","61291","San Leandro Unified                                                        ","UNIFIED        ",8222.87
"01","61309","San Lorenzo Unified                                                        ","UNIFIED        ",10133.18
"01","75093","Dublin Unified                                                             ","UNIFIED        ",10427.27
"01","75101","Pleasanton Unified                                                         ","UNIFIED        ",14362.38
"01","75119","Sunol Glen Unified                                                         ","UNIFIED        ",263.93
"02","10025","Alpine County Office of Education                                          ","CO OFFICE      ",0.00
"02","61333","Alpine County Unified                                                      ","UNIFIED        ",77.17
"03","10033","Amador County Office of Education                                          ","CO OFFICE      ",0.00
"03","73981","Amador County Unified                                                      ","UNIFIED        ",3648.90
"04","10041","Butte County Office of Education                                           ","CO OFFICE      ",0.00
"04","61382","Bangor Union Elementary                                                    ","ELEMENTARY     ",80.60
"04","61408","Biggs Unified                                                              ","UNIFIED        ",572.99
"04","61424","Chico Unified                                                              ","UNIFIED        ",11407.66
"04","61432","Durham Unified                                                             ","UNIFIED        ",948.56
"04","61440","Feather Falls Union Elementary                                             ","ELEMENTARY     ",12.84
"04","61457","Golden Feather Union Elementary                                            ","ELEMENTARY     ",95.78
"04","61499","Manzanita Elementary                                                       ","ELEMENTARY     ",280.41
"04","61507","Oroville City Elementary                                                   ","ELEMENTARY     ",2249.58
"04","61515","Oroville Union High                                                        ","HIGH           ",1943.28
"04","61523","Palermo Union Elementary                                                   ","ELEMENTARY     ",1184.08
"04","61531","Paradise Unified                                                           ","UNIFIED        ",3165.19
"04","61549","Thermalito Union Elementary                                                ","ELEMENTARY     ",1409.09
"04","73379","Pioneer Union Elementary                                                   ","ELEMENTARY     ",54.79
"04","75507","Gridley Unified                                                            ","UNIFIED        ",1916.70
"05","10058","Calaveras County Office of Education                                       ","CO OFFICE      ",0.00
"05","61556","Bret Harte Union High                                                      ","HIGH           ",650.13
"05","61564","Calaveras Unified                                                          ","UNIFIED        ",2771.85
"05","61572","Mark Twain Union Elementary                                                ","ELEMENTARY     ",797.37
"05","61580","Vallecito Union Elementary                                                 ","ELEMENTARY     ",561.65
"06","10066","Colusa County Office of Education                                          ","CO OFFICE      ",0.00
"06","61598","Colusa Unified                                                             ","UNIFIED        ",1400.30
"06","61606","Maxwell Unified                                                            ","UNIFIED        ",320.75
"06","61614","Pierce Joint Unified                                                       ","UNIFIED        ",1424.92
