"Code","Title"
"1100","Certificated Teachers' Salaries                                                                                                                                                                                                                           "
"1200","Certificated Pupil Support Salaries                                                                                                                                                                                                                       "
"1300","Certificated Supervisors' and Administrators' Salaries                                                                                                                                                                                                    "
"1900","Other Certificated Salaries                                                                                                                                                                                                                               "
"2100","Classified Instructional Salaries                                                                                                                                                                                                                         "
"2200","Classified Support Salaries                                                                                                                                                                                                                               "
"2300","Classified Supervisors' and Administrators' Salaries                                                                                                                                                                                                      "
"2400","Clerical, Technical, and Office Staff Salaries                                                                                                                                                                                                            "
"2900","Other Classified Salaries                                                                                                                                                                                                                                 "
"3101","State Teachers' Retirement System, certificated positions                                                                                                                                                                                                 "
"3102","State Teachers' Retirement System, classified positions                                                                                                                                                                                                   "
"3201","Public Employees' Retirement System, certificated positions                                                                                                                                                                                               "
"3202","Public Employees' Retirement System, classified positions                                                                                                                                                                                                 "
"3301","OASDI/Medicare/Alternative, certificated positions                                                                                                                                                                                                        "
"3302","OASDI/Medicare/Alternative, classified positions                                                                                                                                                                                                          "
"3401","Health & Welfare Benefits, certificated positions                                                                                                                                                                                                         "
"3402","Health & Welfare Benefits, classified positions                                                                                                                                                                                                           "
"3501","State Unemployment Insurance, certificated positions                                                                                                                                                                                                      "
"3502","State Unemployment Insurance, classified positions                                                                                                                                                                                                        "
"3601","Workers' Compensation Insurance, certificated positions                                                                                                                                                                                                   "
"3602","Workers' Compensation Insurance, classified positions                                                                                                                                                                                                     "
"3701","OPEB, Allocated, certificated positions                                                                                                                                                                                                                   "
"3702","OPEB, Allocated, classified positions                                                                                                                                                                                                                     "
"3751","OPEB, Active Employees, certificated positions                                                                                                                                                                                                            "
"3752","OPEB, Active Employees, classified positions                                                                                                                                                                                                              "
"3901","Other Benefits, certificated positions                                                                                                                                                                                                                    "
"3902","Other Benefits, classified positions                                                                                                                                                                                                                      "
"4100","Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           "
"4200","Books and Other Reference Materials                                                                                                                                                                                                                       "
"4300","Materials and Supplies                                                                                                                                                                                                                                    "
"4400","Noncapitalized Equipment                                                                                                                                                                                                                                  "
"4700","Food                                                                                                                                                                                                                                                      "
"5100","Subagreements for Services                                                                                                                                                                                                                                "
"5200","Travel and Conferences                                                                                                                                                                                                                                    "
"5300","Dues and Memberships                                                                                                                                                                                                                                      "
"5400","Insurance                                                                                                                                                                                                                                                 "
"5440","Pupil Insurance                                                                                                                                                                                                                                           "
"5450","Other Insurance                                                                                                                                                                                                                                           "
"5500","Operations and Housekeeping Services                                                                                                                                                                                                                      "
"5600","Rentals, Leases, Repairs, and Noncapitalized Improvements                                                                                                                                                                                                 "
"5710","Transfers of Direct Costs                                                                                                                                                                                                                                 "
"5750","Transfers of Direct Costs - Interfund                                                                                                                                                                                                                     "
"5800","Professional/Consulting Services and Operating Expenditures                                                                                                                                                                                               "
"5900","Communications                                                                                                                                                                                                                                            "
"6100","Land                                                                                                                                                                                                                                                      "
"6170","Land Improvements                                                                                                                                                                                                                                         "
"6200","Buildings and Improvements of Buildings                                                                                                                                                                                                                   "
"6300","Books and Media for New School Libraries or Major Expansion of School Libraries                                                                                                                                                                           "
"6400","Equipment                                                                                                                                                                                                                                                 "
"6500","Equipment Replacement                                                                                                                                                                                                                                     "
"6900","Depreciation Expense                                                                                                                                                                                                                                      "
"7110","Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         "
"7130","State Special Schools                                                                                                                                                                                                                                     "
"7141","Other Tuition, Excess Costs, and/or Deficit Payments to Districts or Charter Schools                                                                                                                                                                      "
"7142","Other Tuition, Excess Costs, and/or Deficit Payments to County Offices                                                                                                                                                                                    "
"7143","Other Tuition, Excess Costs, and/or Deficit Payments to JPAs                                                                                                                                                                                              "
"7211","Transfers of Pass-Through Revenues to Districts or Charter Schools                                                                                                                                                                                        "
"7212","Transfers of Pass-Through Revenues to County Offices                                                                                                                                                                                                      "
"7213","Transfers of Pass-Through Revenues to JPAs                                                                                                                                                                                                                "
"7221","Transfers of Apportionments to Districts or Charter Schools                                                                                                                                                                                               "
"7222","Transfers of Apportionments to County Offices                                                                                                                                                                                                             "
"7223","Transfers of Apportionments to JPAs                                                                                                                                                                                                                       "
"7281","All Other Transfers to Districts or Charter Schools                                                                                                                                                                                                       "
"7282","All Other Transfers to County Offices                                                                                                                                                                                                                     "
"7283","All Other Transfers to JPAs                                                                                                                                                                                                                               "
"7299","All Other Transfers Out to All Others                                                                                                                                                                                                                     "
"7310","Transfers of Indirect Costs                                                                                                                                                                                                                               "
"7350","Transfers of Indirect Costs - Interfund                                                                                                                                                                                                                   "
"7432","State School Building Repayments                                                                                                                                                                                                                          "
"7433","Bond Redemptions                                                                                                                                                                                                                                          "
"7434","Bond Interest and Other Service Charges                                                                                                                                                                                                                   "
"7435","Repayment of State School Building Fund Aid - Proceeds from Bonds                                                                                                                                                                                         "
"7436","Payments to Original District for Acquisition of Property                                                                                                                                                                                                 "
"7438","Debt Service - Interest                                                                                                                                                                                                                                   "
"7439","Other Debt Service - Principal                                                                                                                                                                                                                            "
"7611","From General Fund to Child Development Fund                                                                                                                                                                                                               "
"7612","Between General Fund and Special Reserve Fund                                                                                                                                                                                                             "
"7613","To State School Building Fund/County School Facilities Fund from All Other Funds of the District                                                                                                                                                          "
"7614","From Bond Interest and Redemption Fund to General Fund                                                                                                                                                                                                    "
"7616","From General Fund to Cafeteria Fund                                                                                                                                                                                                                       "
"7619","Other Authorized Interfund Transfers Out                                                                                                                                                                                                                  "
"7651","Transfers of Funds from Lapsed/Reorganized LEAs                                                                                                                                                                                                           "
"7699","All Other Financing Uses                                                                                                                                                                                                                                  "
"8011","LCFF State Aid - Current Year                                                                                                                                                                                                                             "
"8012","Education Protection Account State Aid - Current Year                                                                                                                                                                                                     "
"8019","LCFF/Revenue Limit State Aid - Prior Years                                                                                                                                                                                                                "
"8021","Homeowners' Exemptions                                                                                                                                                                                                                                    "
"8022","Timber Yield Tax                                                                                                                                                                                                                                          "
"8029","Other Subventions/In-Lieu Taxes                                                                                                                                                                                                                           "
"8041","Secured Roll Taxes                                                                                                                                                                                                                                        "
"8042","Unsecured Roll Taxes                                                                                                                                                                                                                                      "
"8043","Prior Years' Taxes                                                                                                                                                                                                                                        "
"8044","Supplemental Taxes                                                                                                                                                                                                                                        "
"8045","Education Revenue Augmentation Fund (ERAF)                                                                                                                                                                                                                "
"8047","Community Redevelopment Funds                                                                                                                                                                                                                             "
"8048","Penalties and Interest from Delinquent Taxes                                                                                                                                                                                                              "
"8070","Receipts from County Board of Supervisors                                                                                                                                                                                                                 "
"8081","Royalties and Bonuses                                                                                                                                                                                                                                     "
"8082","Other In-Lieu Taxes                                                                                                                                                                                                                                       "
"8089","Less: Non-LCFF (50 Percent) Adjustment                                                                                                                                                                                                                    "
"8091","LCFF Transfers - Current Year                                                                                                                                                                                                                             "
"8096","Transfers to Charter Schools in Lieu of Property Taxes                                                                                                                                                                                                    "
"8097","Property Taxes Transfers                                                                                                                                                                                                                                  "
"8099","LCFF/Revenue Limit Transfers - Prior Years                                                                                                                                                                                                                "
"8110","Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            "
"8181","Special Education - Entitlement                                                                                                                                                                                                                           "
"8182","Special Education - Discretionary Grants                                                                                                                                                                                                                  "
